gender ,race/ethnicity ,parental level of education ,lunch        ,test preparation course ,math score ,reading score ,writing score
female ,group C        ,some college                ,standard     ,completed               ,        69 ,           90 ,           88
female ,group B        ,some college                ,standard     ,completed               ,        88 ,           95 ,           92
male   ,group D        ,high school                 ,free/reduced ,completed               ,        64 ,           64 ,           67
male   ,group A        ,some college                ,standard     ,completed               ,        78 ,           72 ,           70
male   ,group C        ,master's degree             ,free/reduced ,completed               ,        46 ,           42 ,           46
female ,group B        ,some college                ,free/reduced ,completed               ,        65 ,           75 ,           70
male   ,group D        ,bachelor's degree           ,free/reduced ,completed               ,        74 ,           71 ,           80
male   ,group E        ,associate's degree          ,standard     ,completed               ,        81 ,           81 ,           79
female ,group D        ,associate's degree          ,free/reduced ,completed               ,        75 ,           90 ,           88
male   ,group B        ,some college                ,free/reduced ,completed               ,        59 ,           65 ,           66
female ,group A        ,associate's degree          ,standard     ,completed               ,        55 ,           65 ,           62
female ,group D        ,associate's degree          ,free/reduced ,completed               ,        57 ,           74 ,           76
male   ,group C        ,high school                 ,standard     ,completed               ,        82 ,           84 ,           82
male   ,group E        ,associate's degree          ,free/reduced ,completed               ,        77 ,           69 ,           68
female ,group C        ,some high school            ,free/reduced ,completed               ,        71 ,           84 ,           87
female ,group E        ,associate's degree          ,standard     ,completed               ,        82 ,           85 ,           86
male   ,group D        ,some college                ,standard     ,completed               ,        58 ,           59 ,           58
male   ,group E        ,bachelor's degree           ,free/reduced ,completed               ,        79 ,           74 ,           72
female ,group D        ,some college                ,free/reduced ,completed               ,        58 ,           63 ,           73
male   ,group D        ,some college                ,standard     ,completed               ,        63 ,           55 ,           63
male   ,group A        ,bachelor's degree           ,standard     ,completed               ,        80 ,           78 ,           81
female ,group D        ,some high school            ,standard     ,completed               ,        61 ,           74 ,           72
male   ,group A        ,some college                ,free/reduced ,completed               ,        50 ,           47 ,           54
male   ,group C        ,associate's degree          ,free/reduced ,completed               ,        43 ,           45 ,           50
male   ,group C        ,associate's degree          ,free/reduced ,completed               ,        78 ,           81 ,           82
male   ,group B        ,some high school            ,standard     ,completed               ,        65 ,           66 ,           62
female ,group E        ,some college                ,standard     ,completed               ,        63 ,           72 ,           70
male   ,group D        ,bachelor's degree           ,standard     ,completed               ,        68 ,           74 ,           74
male   ,group B        ,high school                 ,standard     ,completed               ,        60 ,           44 ,           47
male   ,group C        ,some college                ,standard     ,completed               ,        98 ,           86 ,           90
male   ,group E        ,associate's degree          ,standard     ,completed               ,        66 ,           63 ,           64
female ,group D        ,associate's degree          ,free/reduced ,completed               ,        77 ,           89 ,           98
female ,group E        ,bachelor's degree           ,standard     ,completed               ,        99 ,          100 ,          100
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        79 ,           92 ,           89
